X_Value;Acelera??o (Collected);
0.100528;0.001963;
0.101016;0.001890;
0.101504;0.003098;
0.101992;0.003153;
0.102480;0.003580;
0.102968;0.003787;
0.103456;0.004483;
0.103944;0.004971;
0.104432;0.004806;
0.104920;0.004837;
0.105408;0.005105;
0.105896;0.004458;
0.106384;0.004080;
0.106872;0.003568;
0.107360;0.003531;
0.107848;0.004123;
0.108336;0.003891;
0.108824;0.004263;
0.109312;0.003671;
0.109800;0.003110;
0.110288;0.003025;
0.110776;0.002238;
0.111264;0.001804;
0.111752;0.001347;
0.112240;0.001444;
0.112728;0.001597;
0.113216;0.000999;
0.113704;0.001444;
0.114192;0.001804;
0.114680;0.002085;
0.115168;0.002299;
0.115656;0.001066;
0.116144;0.001627;
0.116632;22,85;
0.117120;-0.000233;
0.117608;-0.000758;
0.118096;-0.001594;
0.118584;-0.001673;
0.119072;-0.001875;
0.119560;-0.000557;
0.120048;-19,86;
0.120536;0.000169;
0.121024;0.001512;
0.121512;0.001609;
0.122000;0.001329;
0.122488;0.001249;
0.122976;0.001158;
0.123464;0.000755;
0.123952;0.000810;
0.124440;0.000792;
0.124928;0.000340;
0.125416;0.000358;
0.125904;0.001237;
0.126392;0.002018;
0.126880;0.003232;
0.127368;0.003122;
0.127856;0.004294;
0.128344;0.005233;
0.128832;0.005069;
0.129320;0.004458;
0.129808;0.004269;
0.130296;0.005282;
0.130784;0.005618;
0.131272;0.005099;
0.131760;0.004050;
0.132248;0.004373;
0.132736;0.004562;
0.133224;0.005465;
0.133712;0.004593;
0.134200;0.006069;
0.134688;0.007027;
0.135176;0.007143;
0.135664;0.006118;
0.136152;0.003806;
0.136640;0.003757;
0.137128;0.002213;
0.137616;0.003922;
0.138104;0.004257;
0.138592;0.004153;
0.139080;0.004379;
0.139568;0.003555;
0.140056;0.003519;
0.140544;0.001951;
0.141032;0.002378;
0.141520;0.003659;
0.142008;0.004928;
0.142496;0.004019;
0.142984;0.001872;
0.143472;0.000242;
0.143960;0.000969;
0.144448;0.001139;
0.144936;0.003098;
0.145424;0.003019;
0.145912;0.003903;
0.146400;0.002256;
0.146888;0.001103;
0.147376;0.000712;
0.147864;0.001566;
0.148352;0.003903;
0.148840;0.002805;
0.149328;0.003537;
0.149816;0.002787;
0.150304;0.003446;
0.150792;0.003073;
0.151280;0.003928;
0.151768;0.005911;
0.152256;0.007814;
0.152744;0.007436;
0.153232;0.006838;
0.153720;0.005941;
0.154208;0.005142;
0.154696;0.005984;
0.155184;0.004934;
0.155672;0.006490;
0.156160;0.005294;
0.156648;0.005618;
0.157136;0.005386;
0.157624;0.005862;
0.158112;0.006899;
0.158600;0.008522;
0.159088;0.009828;
0.159576;0.009809;
0.160064;0.009944;
0.160552;0.010554;
0.161040;0.010535;
0.161528;0.009895;
0.162016;0.008809;
0.162504;0.008205;
0.162992;0.008235;
0.163480;0.007033;
0.163968;0.007601;
0.164456;0.008131;
0.164944;0.008302;
0.165432;0.008314;
0.165920;0.007460;
0.166408;0.007631;
0.166896;0.006954;
0.167384;0.006692;
0.167872;0.006563;
0.168360;0.006008;
0.168848;0.006094;
0.169336;0.005209;
0.169824;0.005734;
0.170312;0.007198;
0.170800;0.008760;
0.171288;0.008839;
0.171776;0.008803;
0.172264;0.007143;
0.172752;0.005850;
0.173240;0.004690;
0.173728;0.004940;
0.174216;0.003537;
0.174704;0.004013;
0.175192;0.003787;
0.175680;0.004062;
0.176168;0.004776;
0.176656;0.005209;
0.177144;0.007485;
0.177632;0.008498;
0.178120;0.009382;
0.178608;0.008247;
0.179096;0.007174;
0.179584;0.006698;
0.180072;0.007003;
0.180560;0.005825;
0.181048;0.007564;
0.181536;0.007338;
0.182024;0.007033;
0.182512;0.006777;
0.183000;0.006484;
0.183488;0.008150;
0.183976;0.008510;
0.184464;0.009699;
0.184952;0.010200;
0.185440;0.010108;
0.185928;0.009590;
0.186416;0.008815;
0.186904;0.009138;
0.187392;0.009102;
0.187880;0.009510;
0.188368;0.008888;
0.188856;0.008626;
0.189344;0.007253;
0.189832;0.006466;
0.190320;0.006460;
0.190808;0.006112;
0.191296;0.007399;
0.191784;0.008052;
0.192272;0.008491;
0.192760;0.007491;
0.193248;0.007119;
0.193736;0.006234;
0.194224;0.006417;
0.194712;0.006252;
0.195200;0.005819;
0.195688;0.006008;
0.196176;0.005642;
0.196664;0.005429;
0.197152;0.003934;
0.197640;0.003976;
0.198128;0.004654;
0.198616;0.005069;
0.199104;0.004764;
0.199592;0.004757;
0.200080;0.004227;
0.200568;0.003183;
0.201056;0.003263;
0.201544;0.003482;
0.202032;0.005050;
0.202520;0.006179;
0.203008;0.006917;
0.203496;0.007289;
0.203984;0.006862;
0.204472;0.006271;
0.204960;0.005770;
0.205448;0.005935;
0.205936;0.006179;
0.206424;0.005892;
0.206912;0.005837;
0.207400;0.005026;
0.207888;0.005148;
0.208376;0.004940;
0.208864;0.004593;
0.209352;0.005117;
0.209840;0.005532;
0.210328;0.006521;
0.210816;0.005703;
0.211304;0.005160;
0.211792;0.004519;
0.212280;0.003372;
0.212768;0.004007;
0.213256;0.003659;
0.213744;0.004849;
0.214232;0.004477;
0.214720;0.003757;
0.215208;0.002884;
0.215696;0.001463;
0.216184;0.000670;
0.216672;0.000517;
0.217160;0.000694;
0.217648;0.000773;
0.218136;-0.000246;
0.218624;-0.000502;
0.219112;-0.001100;
0.219600;-0.001210;
0.220088;-7,66;
0.220576;0.000371;
0.221064;0.002274;
0.221552;0.001469;
0.222040;0.001573;
0.222528;0.000224;
0.223016;-0.000276;
0.223504;-0.000307;
0.223992;-0.000337;
0.224480;0.000401;
0.224968;0.001164;
0.225456;0.001329;
0.225944;0.001731;
0.226432;0.001615;
0.226920;0.001908;
0.227408;0.002097;
0.227896;0.002811;
0.228384;0.004202;
0.228872;0.003787;
0.229360;0.003995;
0.229848;0.003043;
0.230336;0.003092;
0.230824;0.003019;
0.231312;0.003861;
0.231800;0.005160;
0.232288;0.004971;
0.232776;0.005044;
0.233264;0.004318;
0.233752;0.003995;
0.234240;0.003409;
0.234728;0.003702;
0.235216;0.003379;
0.235704;0.003110;
0.236192;0.002299;
0.236680;0.001182;
0.237168;0.001371;
0.237656;0.000822;
0.238144;0.001213;
0.238632;0.001347;
0.239120;0.002604;
0.239608;0.002890;
0.240096;0.002872;
0.240584;0.001597;
0.241072;0.001396;
0.241560;0.000767;
0.242048;0.000487;
0.242536;0.000529;
0.243024;0.000206;
0.243512;0.000743;
0.244000;0.000383;
0.244488;0.000877;
0.244976;0.001304;
0.245464;0.001786;
0.245952;0.001652;
0.246440;0.002573;
0.246928;0.002714;
0.247416;0.001969;
0.247904;0.001518;
0.248392;0.001554;
0.248880;0.002048;
0.249368;0.001524;
0.249856;0.001957;
0.250344;0.002128;
0.250832;0.002707;
0.251320;0.002817;
0.251808;0.003275;
0.252296;0.003830;
0.252784;0.004080;
0.253272;0.004739;
0.253760;0.005282;
0.254248;0.005862;
0.254736;0.005898;
0.255224;0.005178;
0.255712;0.004532;
0.256200;0.004593;
0.256688;0.004141;
0.257176;0.004385;
0.257664;0.004879;
0.258152;0.005215;
0.258640;0.005496;
0.259128;0.005148;
0.259616;0.005117;
0.260104;0.006576;
0.260592;0.005972;
0.261080;0.006002;
0.261568;0.005233;
0.262056;0.004642;
0.262544;0.004233;
0.263032;0.003781;
0.263520;0.004977;
0.264008;0.005325;
0.264496;0.005984;
0.264984;0.006496;
0.265472;0.007186;
0.265960;0.006801;
0.266448;0.007039;
0.266936;0.007247;
0.267424;0.006783;
0.267912;0.005850;
0.268400;0.005642;
0.268888;0.005825;
0.269376;0.005978;
0.269864;0.006472;
0.270352;0.006350;
0.270840;0.007106;
0.271328;0.008589;
0.271816;0.007704;
0.272304;0.007625;
0.272792;0.007131;
0.273280;0.007259;
0.273768;0.007100;
0.274256;0.006753;
0.274744;0.006868;
0.275232;0.006740;
0.275720;0.006441;
0.276208;0.007045;
0.276696;0.007363;
0.277184;0.007527;
0.277672;0.007826;
0.278160;0.008253;
0.278648;0.007900;
0.279136;0.006966;
0.279624;0.006832;
0.280112;0.006624;
0.280600;0.006551;
0.281088;0.006539;
0.281576;0.006368;
0.282064;0.006203;
0.282552;0.006185;
0.283040;0.006594;
0.283528;0.007027;
0.284016;0.007350;
0.284504;0.007393;
0.284992;0.007753;
0.285480;0.007735;
0.285968;0.007625;
0.286456;0.007802;
0.286944;0.007302;
0.287432;0.006905;
0.287920;0.007662;
0.288408;0.007308;
0.288896;0.007710;
0.289384;0.007735;
0.289872;0.007149;
0.290360;0.007570;
0.290848;0.008156;
0.291336;0.008668;
0.291824;0.008260;
0.292312;0.009022;
0.292800;0.008967;
0.293288;0.007887;
0.293776;0.008253;
0.294264;0.009034;
0.294752;0.008699;
0.295240;0.008919;
0.295728;0.008900;
0.296216;0.008803;
0.296704;0.009254;
0.297192;0.008809;
0.297680;0.008357;
0.298168;0.008668;
0.298656;0.008345;
0.299144;0.007448;
0.299632;0.007887;
0.300120;0.007052;
0.300608;0.006692;
0.301096;0.006893;
0.301584;0.006490;
0.302072;0.006612;
0.302560;0.007826;
0.303048;0.006960;
0.303536;0.007381;
0.304024;0.006551;
0.304512;0.006441;
0.305000;0.006124;
0.305488;0.006704;
0.305976;0.006179;
0.306464;0.005465;
0.306952;0.005209;
0.307440;0.004928;
0.307928;0.005215;
0.308416;0.005471;
0.308904;0.005819;
0.309392;0.005392;
0.309880;0.005917;
0.310368;0.005368;
0.310856;0.005343;
0.311344;0.005483;
0.311832;0.005898;
0.312320;0.006234;
0.312808;0.006167;
0.313296;0.005807;
0.313784;0.006210;
0.314272;0.006088;
0.314760;0.005697;
0.315248;0.006203;
0.315736;0.006149;
0.316224;0.006057;
0.316712;0.006014;
0.317200;0.006210;
0.317688;0.005972;
0.318176;0.005862;
0.318664;0.005935;
0.319152;0.006222;
0.319640;0.005612;
0.320128;0.005740;
0.320616;0.005380;
0.321104;0.006301;
0.321592;0.005032;
0.322080;0.005410;
0.322568;0.004977;
0.323056;0.004495;
0.323544;0.004343;
0.324032;0.003592;
0.324520;0.003854;
0.325008;0.003891;
0.325496;0.003830;
0.325984;0.003879;
0.326472;0.003110;
0.326960;0.002842;
0.327448;0.002829;
0.327936;0.002469;
0.328424;0.002927;
0.328912;0.002707;
0.329400;0.002463;
0.329888;0.002146;
0.330376;0.002109;
0.330864;0.002158;
0.331352;0.001640;
0.331840;0.001975;
0.332328;0.002305;
0.332816;0.002659;
0.333304;0.002122;
0.333792;0.002103;
0.334280;0.002225;
0.334768;0.001573;
0.335256;0.002622;
0.335744;0.002585;
0.336232;0.002854;
0.336720;0.003043;
0.337208;0.002866;
0.337696;0.002805;
0.338184;0.003397;
0.338672;0.003177;
0.339160;0.003433;
0.339648;0.002970;
0.340136;0.002634;
0.340624;0.002671;
0.341112;0.002762;
0.341600;0.002232;
0.342088;0.001688;
0.342576;0.002451;
0.343064;0.001804;
0.343552;0.002018;
0.344040;0.002634;
0.344528;0.002512;
0.345016;0.002750;
0.345504;0.002897;
0.345992;0.002042;
0.346480;0.001823;
0.346968;0.001926;
0.347456;0.001322;
0.347944;0.001621;
0.348432;0.000901;
0.348920;0.000700;
0.349408;0.000120;
0.349896;0.000395;
0.350384;10,65;
0.350872;-0.000502;
0.351360;0.000114;
0.351848;0.000609;
0.352336;-74,77;
0.352824;-56,47;
0.353312;-0.000105;
0.353800;-0.000514;
0.354288;0.000493;
0.354776;0.000602;
0.355264;0.000487;
0.355752;71,66;
0.356240;0.000267;
0.356728;0.000645;
0.357216;0.000395;
0.357704;-25,96;
0.358192;0.001829;
0.358680;0.002097;
0.359168;0.002402;
0.359656;0.001664;
0.360144;0.002457;
0.360632;0.001957;
0.361120;0.002268;
0.361608;0.002610;
0.362096;0.003202;
0.362584;0.003098;
0.363072;0.002884;
0.363560;0.003415;
0.364048;0.003751;
0.364536;0.004428;
0.365024;0.003684;
0.365512;0.004483;
0.366000;0.003562;
0.366488;0.003800;
0.366976;0.003153;
0.367464;0.003311;
0.367952;0.003116;
0.368440;0.003324;
0.368928;0.003202;
0.369416;0.003488;
0.369904;0.002726;
0.370392;0.003488;
0.370880;0.003751;
0.371368;0.003281;
0.371856;0.002219;
0.372344;0.002109;
0.372832;0.001981;
0.373320;0.001298;
0.373808;0.001451;
0.374296;0.001536;
0.374784;0.001890;
0.375272;0.001853;
0.375760;0.002152;
0.376248;0.002091;
0.376736;0.002829;
0.377224;0.003659;
0.377712;0.003336;
0.378200;0.003208;
0.378688;0.003763;
0.379176;0.003696;
0.379664;0.003519;
0.380152;0.003757;
0.380640;0.003824;
0.381128;0.003775;
0.381616;0.005197;
0.382104;0.005087;
0.382592;0.006057;
0.383080;0.005904;
0.383568;0.006423;
0.384056;0.006441;
0.384544;0.006576;
0.385032;0.006063;
0.385520;0.006539;
0.386008;0.007357;
0.386496;0.007241;
0.386984;0.006929;
0.387472;0.007485;
0.387960;0.007802;
0.388448;0.007643;
0.388936;0.008070;
0.389424;0.007570;
0.389912;0.008339;
0.390400;0.007143;
0.390888;0.008083;
0.391376;0.007515;
0.391864;0.007497;
0.392352;0.006710;
0.392840;0.006435;
0.393328;0.006832;
0.393816;0.006112;
0.394304;0.006325;
0.394792;0.006606;
0.395280;0.006350;
0.395768;0.006521;
0.396256;0.006679;
0.396744;0.006563;
0.397232;0.007167;
0.397720;0.006649;
0.398208;0.007076;
0.398696;0.006063;
0.399184;0.006435;
0.399672;0.006771;
0.400160;0.007436;
0.400648;0.007241;
0.401136;0.007253;
0.401624;0.008046;
0.402112;0.008028;
0.402600;0.008180;
0.403088;0.008766;
0.403576;0.009523;
0.404064;0.009443;
0.404552;0.009626;
0.405040;0.009992;
0.405528;0.009602;
0.406016;0.009608;
0.406504;0.009431;
0.406992;0.009626;
0.407480;0.010072;
0.407968;0.010944;
0.408456;0.010096;
0.408944;0.010694;
0.409432;0.010535;
0.409920;0.011182;
0.410408;0.011518;
0.410896;0.011054;
0.411384;0.011267;
0.411872;0.010200;
0.412360;0.010303;
0.412848;0.009559;
0.413336;0.008925;
0.413824;0.009065;
0.414312;0.008919;
0.414800;0.008894;
0.415288;0.008217;
0.415776;0.008369;
0.416264;0.007814;
0.416752;0.007509;
0.417240;0.007881;
0.417728;0.007241;
0.418216;0.007973;
0.418704;0.008235;
0.419192;0.007216;
0.419680;0.007680;
0.420168;0.007167;
0.420656;0.007308;
0.421144;0.007344;
0.421632;0.007704;
0.422120;0.007784;
0.422608;0.006893;
0.423096;0.006734;
0.423584;0.006911;
0.424072;0.006795;
0.424560;0.006899;
0.425048;0.007399;
0.425536;0.008345;
0.426024;0.008028;
0.426512;0.008595;
0.427000;0.008809;
0.427488;0.008620;
0.427976;0.008717;
0.428464;0.008754;
0.428952;0.009175;
0.429440;0.009193;
0.429928;0.008552;
0.430416;0.007595;
0.430904;0.007930;
0.431392;0.008113;
0.431880;0.008199;
0.432368;0.008205;
0.432856;0.008375;
0.433344;0.008241;
0.433832;0.007753;
0.434320;0.007106;
0.434808;0.006271;
0.435296;0.006149;
0.435784;0.006191;
0.436272;0.005728;
0.436760;0.005703;
0.437248;0.004794;
0.437736;0.005130;
0.438224;0.003964;
0.438712;0.003909;
0.439200;0.003324;
0.439688;0.003128;
0.440176;0.002347;
0.440664;0.002427;
0.441152;0.001994;
0.441640;0.002061;
0.442128;0.001634;
0.442616;0.002280;
0.443104;0.002232;
0.443592;0.001841;
0.444080;0.002781;
0.444568;0.002354;
0.445056;0.003226;
0.445544;0.002744;
0.446032;0.002793;
0.446520;0.002537;
0.447008;0.002768;
0.447496;0.002555;
0.447984;0.002714;
0.448472;0.002909;
0.448960;0.003464;
0.449448;0.003549;
0.449936;0.003348;
0.450424;0.003171;
0.450912;0.003555;
0.451400;0.003513;
0.451888;0.004086;
0.452376;0.004562;
0.452864;0.004361;
0.453352;0.004153;
0.453840;0.003848;
0.454328;0.004147;
0.454816;0.003513;
0.455304;0.003440;
0.455792;0.003446;
0.456280;0.002488;
0.456768;0.002750;
0.457256;0.001219;
0.457744;0.001042;
0.458232;0.001213;
0.458720;0.001011;
0.459208;0.000456;
0.459696;0.000724;
0.460184;0.001280;
0.460672;-0.000404;
0.461160;-0.000313;
0.461648;-0.000246;
0.462136;-0.000532;
0.462624;-0.001118;
0.463112;-0.000569;
0.463600;-0.001338;
0.464088;-0.001808;
0.464576;-0.001960;
0.465064;-0.001661;
0.465552;-0.001539;
0.466040;-0.001869;
0.466528;-0.001142;
0.467016;-0.001228;
0.467504;-0.001502;
0.467992;-0.001679;
0.468480;-0.001301;
0.468968;-86,97;
0.469456;-0.000154;
0.469944;0.000242;
0.470432;0.000371;
0.470920;0.000316;
0.471408;0.001103;
0.471896;0.000993;
0.472384;0.001585;
0.472872;0.001725;
0.473360;0.001280;
0.473848;0.001902;
0.474336;0.001499;
0.474824;0.001926;
0.475312;0.001878;
0.475800;0.002415;
0.476288;0.002732;
0.476776;0.002659;
0.477264;0.002836;
0.477752;0.003159;
0.478240;0.003781;
0.478728;0.003690;
0.479216;0.003379;
0.479704;0.003214;
0.480192;0.002555;
0.480680;0.002012;
0.481168;0.002012;
0.481656;0.001627;
0.482144;0.001957;
0.482632;0.001017;
0.483120;0.000792;
0.483608;0.001139;
0.484096;0.000566;
0.484584;0.000871;
0.485072;0.000499;
0.485560;0.000987;
0.486048;0.001237;
0.486536;0.001286;
0.487024;0.000535;
0.487512;0.001176;
0.488000;0.000938;
0.488488;0.000987;
0.488976;0.001682;
0.489464;0.001139;
0.489952;0.001463;
0.490440;0.001621;
0.490928;0.002048;
0.491416;0.001585;
0.491904;0.002091;
0.492392;0.002695;
0.492880;0.002329;
0.493368;0.003080;
0.493856;0.003745;
0.494344;0.004642;
0.494832;0.005166;
0.495320;0.005282;
0.495808;0.005593;
0.496296;0.005325;
0.496784;0.006130;
0.497272;0.006332;
0.497760;0.006997;
0.498248;0.006240;
0.498736;0.006905;
0.499224;0.006075;
0.499712;0.006399;
0.500200;0.006740;
0.500688;0.006942;
0.501176;0.007113;
0.501664;0.007137;
0.502152;0.007613;
0.502640;0.006515;
0.503128;0.006155;
0.503616;0.006850;
0.504104;0.006332;
0.504592;0.006814;
0.505080;0.007344;
0.505568;0.007106;
0.506056;0.006167;
0.506544;0.005904;
0.507032;0.005752;
0.507520;0.004806;
0.508008;0.005929;
0.508496;0.006063;
0.508984;0.006252;
0.509472;0.006252;
0.509960;0.005532;
0.510448;0.005429;
0.510936;0.005429;
0.511424;0.006405;
0.511912;0.007039;
0.512400;0.007277;
0.512888;0.007619;
0.513376;0.006820;
0.513864;0.006673;
0.514352;0.007216;
0.514840;0.007369;
0.515328;0.008272;
0.515816;0.008119;
0.516304;0.008168;
0.516792;0.008077;
0.517280;0.007326;
0.517768;0.008375;
0.518256;0.008217;
0.518744;0.009169;
0.519232;0.010480;
0.519720;0.010145;
0.520208;0.010316;
0.520696;0.010291;
0.521184;0.010236;
0.521672;0.010175;
0.522160;0.010706;
0.522648;0.010700;
0.523136;0.009907;
0.523624;0.010291;
0.524112;0.009742;
0.524600;0.009553;
0.525088;0.009437;
0.525576;0.009498;
0.526064;0.009254;
0.526552;0.009053;
0.527040;0.009693;
0.527528;0.009809;
0.528016;0.008864;
0.528504;0.008510;
0.528992;0.008418;
0.529480;0.008217;
0.529968;0.008150;
0.530456;0.007918;
0.530944;0.008473;
0.531432;0.007405;
0.531920;0.007448;
0.532408;0.007466;
0.532896;0.007137;
0.533384;0.007253;
0.533872;0.007418;
0.534360;0.007686;
0.534848;0.007369;
0.535336;0.007552;
0.535824;0.007320;
0.536312;0.006960;
0.536800;0.007613;
0.537288;0.008046;
0.537776;0.008528;
0.538264;0.008998;
0.538752;0.008571;
0.539240;0.008016;
0.539728;0.008491;
0.540216;0.008803;
0.540704;0.009022;
0.541192;0.008943;
0.541680;0.009480;
0.542168;0.008443;
0.542656;0.008723;
0.543144;0.008534;
0.543632;0.008583;
0.544120;0.009346;
0.544608;0.009602;
0.545096;0.009699;
0.545584;0.009443;
0.546072;0.008912;
0.546560;0.008687;
0.547048;0.008504;
0.547536;0.008613;
0.548024;0.008717;
0.548512;0.008052;
0.549000;0.007820;
0.549488;0.007393;
0.549976;0.006850;
0.550464;0.006191;
0.550952;0.005660;
0.551440;0.006185;
0.551928;0.005697;
0.552416;0.005923;
0.552904;0.005447;
0.553392;0.004910;
0.553880;0.004849;
0.554368;0.004465;
0.554856;0.005001;
0.555344;0.005020;
0.555832;0.004947;
0.556320;0.004599;
0.556808;0.003983;
0.557296;0.002811;
0.557784;0.003250;
0.558272;0.002951;
0.558760;0.003958;
0.559248;0.003598;
0.559736;0.004160;
0.560224;0.004648;
0.560712;0.003189;
0.561200;0.003867;
0.561688;0.003232;
0.562176;0.004184;
0.562664;0.004141;
0.563152;0.003983;
0.563640;0.004544;
0.564128;0.004770;
0.564616;0.004257;
0.565104;0.004404;
0.565592;0.004349;
0.566080;0.004178;
0.566568;0.004538;
0.567056;0.004355;
0.567544;0.003793;
0.568032;0.003696;
0.568520;0.003507;
0.569008;0.003586;
0.569496;0.003226;
0.569984;0.003379;
0.570472;0.003684;
0.570960;0.003714;
0.571448;0.003745;
0.571936;0.003482;
0.572424;0.002537;
0.572912;0.002347;
0.573400;0.002238;
0.573888;0.001756;
0.574376;0.000901;
0.574864;0.001005;
0.575352;0.000816;
0.575840;0.000365;
0.576328;0.000322;
0.576816;0.000120;
0.577304;0.000615;
0.577792;0.000663;
0.578280;0.000615;
0.578768;0.000145;
0.579256;0.000572;
0.579744;0.000114;
0.580232;-19,86;
0.580720;0.000322;
0.581208;0.000157;
0.581696;0.000462;
0.582184;0.000151;
0.582672;0.000474;
0.583160;0.000157;
0.583648;0.000194;
0.584136;0.000163;
0.584624;0.000468;
0.585112;0.000731;
0.585600;0.000657;
0.586088;0.001499;
0.586576;0.001341;
0.587064;0.001499;
0.587552;0.001670;
0.588040;0.002652;
0.588528;0.001926;
0.589016;0.001560;
0.589504;0.001957;
0.589992;0.002280;
0.590480;0.001621;
0.590968;0.001084;
0.591456;41,15;
0.591944;0.001078;
0.592432;0.001573;
0.592920;0.000779;
0.593408;0.001133;
0.593896;0.001011;
0.594384;0.001023;
0.594872;0.000877;
0.595360;0.000786;
0.595848;0.001036;
0.596336;0.000535;
0.596824;0.000663;
0.597312;-80,87;
0.597800;-0.000538;
0.598288;-0.000453;
0.598776;-0.000813;
0.599264;-0.000526;
0.599752;-0.000599;
0.600240;-0.000252;
0.600728;-0.000197;
0.601216;-0.000117;
0.601704;-0.000154;
0.602192;-68,67;
0.602680;0.000517;
0.603168;0.000529;
0.603656;0.000285;
0.604144;-0.000398;
0.604632;0.001408;
0.605120;0.001133;
0.605608;0.000798;
0.606096;0.001981;
0.606584;0.002756;
0.607072;0.001658;
0.607560;0.002360;
0.608048;0.002732;
0.608536;0.002775;
0.609024;0.003440;
0.609512;0.002866;
0.610000;0.003879;
0.610488;0.003385;
0.610976;0.004062;
0.611464;0.004410;
0.611952;0.004666;
0.612440;0.004318;
0.612928;0.004654;
0.613416;0.004739;
0.613904;0.005270;
0.614392;0.004495;
0.614880;0.005538;
0.615368;0.005587;
0.615856;0.004965;
0.616344;0.003690;
0.616832;0.004385;
0.617320;0.004184;
